Year,Annual_Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1033.25,1032.7094690904,-1033.1148584348,-526.2432030662,8.3556873508,-839.8284112813,511.7933044364,-225.26229862,-733.5663148125,33.4172852133,-16.7108282611,889.1983208073,-1033.2162140563,601.9084665502,897.5929901877,-1008.3959833917,727.6579033257
1872,1246.5,984.4596362809,-1179.17157077,-843.9133942558,204.8473663917,-1096.1405634552,500.9112716141,-161.6681971331,-951.0795161834,764.5923584065,-404.1245559081,917.37257044,-1229.5526855253,593.4965165425,1141.4246133538,-1235.9715385217,805.73569109
1873,889,247.7716082561,-710.8410369906,-724.6991727949,281.4101260753,-828.6301915095,270.2438115715,-35.8612608594,-721.2817071301,853.7741095525,-533.8782821301,514.9098066171,-843.2848516025,322.013983732,846.9293254501,-888.2764040374,519.6861542889
1874,1442.6666666667,-488.6533816459,-829.5550511741,-1324.0094303914,665.0246952623,-1399.5676259467,292.5601130821,71.1875426995,-1233.0239396452,1357.3890318244,-1180.3073871593,572.9625985576,-1280.2457833567,349.9965307157,1412.6909397829,-1440.9092424145,748.958660657
1875,1118.1666666667,-924.5986173567,-328.9691022498,-1096.0813127889,664.2493545144,-1110.1991077745,111.1195449229,155.0123577931,-998.2580280212,628.8196014968,-1068.679570409,221.1389838982,-899.4829011559,133.2465216857,1112.6316286987,-1107.3697952247,503.7634404518
1876,1014.4166666667,-1013.9369543219,15.5985287416,-1014.3633615604,722.7947776313,-1014.3974767209,-5.1996917345,230.071905854,-938.6842500596,-31.1933690338,-1014.2967314905,-10.3992468527,-711.7646261512,-6.2396180592,1014.4033403026,-987.9818276405,384.5946597408
1877,1187.25,-938.8238837198,384.0207719341,-1158.741678877,965.7875604859,-1176.9605636082,-130.089400516,371.7865120103,-1130.5294873834,-726.7546201142,-1123.4280614366,-258.6122273467,-690.5193339152,-155.9692091764,1180.101398344,-1127.535964831,362.5819088931
1878,941.4166666667,-263.8201708859,564.7568655638,-856.1395171797,842.0026324585,-910.4135544952,-200.3513536426,373.721418223,-916.2261325272,-903.6947812794,-753.2031751635,-391.5232654659,-421.0663928774,-239.6090567347,919.8503548792,-864.0588185067,216.3215531381
1879,1146.1666666667,386.5062388964,937.2029116631,-920.530746222,1092.6776205792,-1063.1452469047,-359.5944735507,547.4242052918,-1132.7154748432,-1079.0324161359,-659.8096165926,-682.8771287998,-346.0543963936,-428.27585942,1088.2967620873,-1006.9879677725,175.081926048
1880,1142.25,943.4885774669,1091.4290838418,-755.9360078213,1129.4733138765,-997.6993697823,-469.7164876636,633.2713091383,-1139.0513498687,-643.8667305348,-336.9237561293,-856.3269320646,-170.3675313575,-556.1753590694,1041.2019418523,-950.6326901186,85.4229761966
1881,1144.8333333333,1144.3465636115,1144.7116344344,-562.7520901448,1144.8029082043,-922.2491415452,-577.2287284562,717.5145831949,-1144.8257270258,33.3811842463,16.6923665671,-996.9721391035,8.3464050979,-678.3066283253,988.6608903744,-892.0853008618,-4.173230276
1882,1159.9166666667,918.339570406,1097.8624793171,-347.8112779097,1144.2979640546,-840.948332534,-686.285135898,805.0228481578,-1156.0053965598,708.5612937761,374.3055571573,-1106.5414536157,189.707256244,-798.8820786696,935.1039438783,-835.0717858694,-95.1745592883
1883,916.8333333333,258.3323635326,733.9724392225,-87.1611192284,869.9177429902,-580.3718500838,-616.7135241066,692.8934213432,-905.0284374379,879.6861662336,549.424989942,-912.6808316196,289.528032394,-709.7548004356,678.4156471479,-600.4015887474,-146.6522708307
1884,1661.9166666667,-557.9330827199,957.7913963614,189.2497936862,1475.4213790893,-882.569421659,-1240.2589232162,1348.4441399873,-1614.619829435,1565.4640469047,1358.1614955523,-1651.1061512012,764.917486446,-1408.2038996172,1106.2209590887,-971.4244223193,-393.6620547371
