Year,annual_Mean_allind,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,888.9166666667,888.4516418088,-888.800402849,-452.7329822653,7.1884923761,-722.5138852438,440.3015709673,-193.7957044423,-631.0954012505,28.7492685999,-14.3765146433,764.9873770508,-888.8876002371,517.8286646255,772.209406108,-867.5344749447,626.0123279922
1872,940.75,742.9846793672,-889.9363459301,-636.9125757289,154.6010107766,-827.2717489535,378.0443471889,-122.0131219037,-717.7922622138,577.0479431777,-304.998135556,692.3531854323,-927.959638113,447.9196533794,861.4482190234,-932.8040311787,608.0993593205
1873,781.25,217.7407974691,-624.6845445994,-636.8630244612,247.3022058451,-728.1972296027,237.4892888529,-31.5147469589,-633.8597679363,750.2936142721,-469.1703126143,452.5008846115,-741.0756921423,282.9847297982,744.278442641,-780.6141064727,456.6983217527
1874,1008.6666666667,-341.6509087016,-579.9985177571,-925.7052995297,464.9641238132,-978.5331876421,204.5487297103,49.7720665916,-862.0911370994,949.0432556148,-825.2333996174,400.5972327253,-895.1071488996,244.7064468451,987.7085914471,-1007.4379315033,523.6480839066
1875,922.8333333333,-763.0798247584,-271.5012549049,-904.6060856926,548.2111605225,-916.2576329925,91.7079922847,127.9331383366,-823.8716203835,518.9706563553,-881.9911732529,182.5080569153,-742.3515909524,109.9695916789,918.2652150997,-913.9225750721,415.7606453691
1876,761.5833333333,-761.2231845516,11.7107495416,-761.5433139982,542.6453193766,-761.5689262919,-3.9037199344,172.7287560667,-704.726473449,-23.4187299433,-761.493290815,-7.8073373028,-534.3643241925,-4.6844548955,761.5733284338,-741.7371168,288.7382399878
1877,788.3333333333,-623.3785316199,254.9895769282,-769.4038241157,641.2823978519,-781.5011533469,-86.3792888946,246.8660352086,-750.6709448057,-482.5646596673,-745.9556019646,-171.7183737418,-458.504449978,-103.563467313,783.5866658478,-748.6832475118,240.7541839074
1878,1024.8333333333,-287.1966417239,614.7986131454,-931.9999807272,916.610460651,-991.0831099567,-218.1040052312,406.835974268,-997.4107265485,-983.7690024053,-819.9426970134,-426.2152003806,-458.3760732589,-260.840238977,1001.3560825267,-940.6209922984,235.4892856946
1879,940.4166666667,317.1239570995,768.9642909785,-755.2849695445,896.5295149219,-872.2985394299,-295.0431608274,449.1553116707,-929.380117319,-885.3337804343,-541.3662587791,-560.2928892326,-283.933682078,-351.3954539446,892.9350705362,-826.2221329295,143.6527217865
1880,898.0833333333,741.8090318348,858.1258653653,-594.3475856344,888.0377838802,-784.4317580903,-369.3101763734,497.9036184857,-895.5684247125,-506.2341690358,-264.9031385281,-673.2790068476,-133.9498712658,-437.2876519071,818.6352467602,-747.4260233026,67.1630126556
1881,887.8333333333,887.4558370008,887.7389542338,-436.4216602419,887.8097382449,-715.216360025,-447.648483984,556.4420126189,-887.8274345416,25.8875481846,12.945150197,-773.165029117,6.4727471184,-526.0357270475,766.7195462257,-691.8239041623,-3.2363950619
1882,957.6666666667,758.2123962286,906.4326181703,-287.1648254716,944.7713343571,-694.3155569711,-566.6203593462,664.65425469,-954.4373889838,585.0123132463,309.0394038977,-913.5982746571,156.6287656265,-659.5842264581,772.0536333824,-689.4636800928,-78.579354504
1883,912.4166666667,257.0878975022,730.4366694281,-86.7412374506,865.7270830758,-577.5760213205,-613.7426263809,689.5555417458,-900.6686385665,875.4484488359,546.778241672,-908.2841688242,288.1332872825,-706.3356944164,675.1475114182,-597.509270605,-145.9458019747
